"snapshot_ts","vehicle_id","lat","lon","eucl_wgs84_manual_m","st_transform_eucl_m","haversine_manual_m","st_distance_sphere_m","st_distance_spheroid_m"
"2026-06-07 08:08:18.000",1236,59.41227,24.63508,2056.6929048686047,2058.9344955851666,2053.5159000440335,2053.520412566896,2058.8960419486475
"2026-06-07 08:08:49.000",1236,59.41229,24.63603,2020.1148440327322,2022.2202868694917,2016.9656195559317,2016.9700517606298,2022.1825142892485
"2026-06-07 08:09:19.000",1236,59.41285,24.63657,1952.6887485491768,1954.7645426051974,1949.656665904089,1949.6609502009405,1954.72790410523
"2026-06-07 08:09:49.000",1236,59.41226,24.63967,1897.355500268819,1898.9473634576548,1894.282635871941,1894.2867984861903,1898.9119000580658
"2026-06-07 08:10:19.000",1236,59.41213,24.64074,1875.3487648661987,1876.7880784736174,1872.271575027625,1872.2756892732964,1876.753056971292
"2026-06-07 08:10:49.000",1236,59.41386,24.64012,1738.6314859003562,1740.2840244841204,1735.873261512131,1735.877076028251,1740.2512037425745
"2026-06-07 08:11:19.000",1236,59.41513,24.63961,1647.9520507889385,1649.7861486809304,1645.4173913308143,1645.4210070727088,1649.7547932435323
"2026-06-07 08:11:50.000",1236,59.4158,24.63969,1589.7043417569375,1591.5879310533444,1587.2932987641614,1587.2967867803857,1591.557558737654
"2026-06-07 08:12:20.000",1236,59.41843,24.64175,1301.2645654389557,1303.0937592056673,1299.376501769785,1299.3793571006656,1303.0684964173427
"2026-06-07 08:12:50.000",1236,59.41954,24.64599,1041.9985194328194,1043.2950477538539,1040.436333694711,1040.438620014044,1043.2746876662918
"2026-06-07 08:13:20.000",1236,59.42015,24.64504,1034.828301109462,1036.3296510144837,1033.340633468232,1033.3429041946372,1036.3093536599147
"2026-06-07 08:13:50.000",1236,59.42138,24.64342,1028.0654562283648,1029.9452870609616,1026.7033895908278,1026.705645732005,1029.9249679452219
"2026-06-07 08:14:20.000",1236,59.42278,24.64647,800.3869472281308,801.9422729279831,799.3538882114642,799.3556447610481,801.9263216944294
"2026-06-07 08:14:51.000",1236,59.42365,24.64878,639.5780406064582,640.867250446835,638.7663610848773,638.7677647497555,640.8544383711506
"2026-06-07 08:15:22.000",1236,59.42408,24.65035,538.6516921715249,539.7438906054017,537.9700047410529,537.9711869097928,539.7330732005317
"2026-06-07 08:15:52.000",1236,59.42533,24.65552,214.5296140268551,214.9567600587307,214.25575783548106,214.25622865437157,214.95242070792483
"2026-06-07 08:16:22.000",1236,59.42627,24.65948,34.06930975279657,34.15158694921476,34.03013411707331,34.03020889721668,34.15089379212282
"2026-06-07 08:16:53.000",1236,59.42658,24.66098,125.31318213440663,125.5940896051353,125.16259095596108,125.16286599578923,125.59153595016211
