transport_type,line_number,vehicle_id,fleet_number,lat,lon,heading_deg,speed_kmh,floor_type,destination,snapshot_ts,snapshot_date
2,8,1476,61,59.42932,24.69808,98,,Z,Äigrumäe,2026-05-23 07:04:32+03,2026-05-23
2,8,1710,18,59.43975,24.73775,238,,Z,Väike-Õismäe,2026-05-23 07:04:32+03,2026-05-23
2,8,1186,49,59.45412,24.80891,15,,Z,Äigrumäe,2026-05-23 07:05:02+03,2026-05-23
2,8,1236,34,59.48291,24.85917,211,,Z,Väike-Õismäe,2026-05-23 07:05:02+03,2026-05-23
2,8,1474,2,59.4119,24.63535,117,,Z,Väike-Õismäe,2026-05-23 07:05:02+03,2026-05-23
2,8,1476,61,59.42926,24.70043,94,,Z,Äigrumäe,2026-05-23 07:05:02+03,2026-05-23
2,8,1710,18,59.43917,24.73622,235,,Z,Väike-Õismäe,2026-05-23 07:05:02+03,2026-05-23
2,8,1186,49,59.45703,24.81138,24,,Z,Äigrumäe,2026-05-23 07:05:32+03,2026-05-23
2,8,1236,34,59.48084,24.85635,235,,Z,Väike-Õismäe,2026-05-23 07:05:32+03,2026-05-23
2,8,1474,2,59.4119,24.63534,117,,Z,Väike-Õismäe,2026-05-23 07:05:32+03,2026-05-23
2,8,1476,61,59.42919,24.70366,88,,Z,Äigrumäe,2026-05-23 07:05:32+03,2026-05-23
2,8,1710,18,59.43707,24.73334,203,,Z,Väike-Õismäe,2026-05-23 07:05:32+03,2026-05-23
2,8,1186,49,59.45983,24.81652,53,,Z,Äigrumäe,2026-05-23 07:06:02+03,2026-05-23
2,8,1236,34,59.48004,24.85433,228,,Z,Väike-Õismäe,2026-05-23 07:06:02+03,2026-05-23
2,8,1474,2,59.41191,24.63535,117,,Z,Väike-Õismäe,2026-05-23 07:06:02+03,2026-05-23
2,8,1476,61,59.42967,24.70626,72,,Z,Äigrumäe,2026-05-23 07:06:02+03,2026-05-23
2,8,1710,18,59.4368,24.73311,203,,Z,Väike-Õismäe,2026-05-23 07:06:02+03,2026-05-23
2,8,1186,49,59.46145,24.82245,64,,Z,Äigrumäe,2026-05-23 07:06:32+03,2026-05-23
2,8,1236,34,59.47948,24.85075,241,,Z,Väike-Õismäe,2026-05-23 07:06:32+03,2026-05-23
2,8,1474,2,59.4119,24.63534,117,,Z,Väike-Õismäe,2026-05-23 07:06:32+03,2026-05-23
2,8,1476,61,59.43039,24.70958,58,,Z,Äigrumäe,2026-05-23 07:06:32+03,2026-05-23
2,8,1710,18,59.43654,24.73107,270,,Z,Väike-Õismäe,2026-05-23 07:06:32+03,2026-05-23
2,8,1186,49,59.46217,24.82503,60,,Z,Äigrumäe,2026-05-23 07:07:02+03,2026-05-23
2,8,1236,34,59.4786,24.84895,225,,Z,Väike-Õismäe,2026-05-23 07:07:02+03,2026-05-23
2,8,1474,2,59.4119,24.63534,117,,Z,Väike-Õismäe,2026-05-23 07:07:02+03,2026-05-23
2,8,1476,61,59.43128,24.71248,60,,Z,Äigrumäe,2026-05-23 07:07:02+03,2026-05-23
2,8,1710,18,59.43627,24.72823,240,,Z,Väike-Õismäe,2026-05-23 07:07:02+03,2026-05-23
2,8,1186,49,59.46409,24.82882,43,,Z,Äigrumäe,2026-05-23 07:07:32+03,2026-05-23
2,8,1236,34,59.47726,24.84671,205,,Z,Väike-Õismäe,2026-05-23 07:07:32+03,2026-05-23
2,8,1474,2,59.41191,24.63535,117,,Z,Väike-Õismäe,2026-05-23 07:07:32+03,2026-05-23
2,8,1476,61,59.43192,24.71435,57,,Z,Äigrumäe,2026-05-23 07:07:32+03,2026-05-23
2,8,1710,18,59.43553,24.72603,237,,Z,Väike-Õismäe,2026-05-23 07:07:32+03,2026-05-23
2,8,1186,49,59.46611,24.83265,45,,Z,Äigrumäe,2026-05-23 07:08:03+03,2026-05-23
2,8,1236,34,59.47498,24.84464,230,,Z,Väike-Õismäe,2026-05-23 07:08:03+03,2026-05-23
2,8,1474,2,59.41191,24.63534,117,,Z,Väike-Õismäe,2026-05-23 07:08:03+03,2026-05-23
