stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,thoreb_id,date,source
133439,00132-1,Lesta,,59.44705,24.60534,,,,4140,2026-05-23,gtfs
805,00201-1,Merirahu,,59.44496,24.61246,,,,805,2026-05-23,gtfs
133440,00133-1,Merirahu,,59.44449,24.61309,,,,4141,2026-05-23,gtfs
807,00203-1,Õismäe raba,,59.43722,24.6273,,,,807,2026-05-23,gtfs
133442,00135-1,Õismäe raba,,59.43696,24.62734,,,,4143,2026-05-23,gtfs
806,00202-1,Paljandi,,59.44009,24.62323,,,,806,2026-05-23,gtfs
133441,00134-1,Paljandi,,59.43934,24.62422,,,,4142,2026-05-23,gtfs
811,00304-1,Rocca al Mare,,59.4312,24.63725,,,,811,2026-05-23,gtfs
133444,00137-1,Rocca al Mare,,59.43085,24.63862,,,,4145,2026-05-23,gtfs
133445,00138-1,Rocca al Mare kool,,59.4303,24.65101,,,,4146,2026-05-23,gtfs
133446,00139-1,Rocca al Mare kool,,59.43018,24.65139,,,,4147,2026-05-23,gtfs
800,00115-1,Tiskre,,59.43825,24.57222,,,,800,2026-05-23,gtfs
4056,00122-1,Alemaa,,59.43551,24.61289,,,,4056,2026-05-23,gtfs
133432,00125-1,Alemaa,,59.43603,24.61159,,,,4133,2026-05-23,gtfs
13430,00311-1,Pikaliiva,,59.42819,24.6277,,,,13430,2026-05-23,gtfs
133430,00300-1,Pikaliiva,,59.42914,24.62589,,,,4131,2026-05-23,gtfs
808,00301-1,Tuleraua,,59.4314,24.62213,,,,808,2026-05-23,gtfs
133431,00299-1,Tuleraua,,59.43186,24.62178,,,,4132,2026-05-23,gtfs
1253,11307-1,Kitseküla,,59.42029,24.74036,,,,1253,2026-05-23,gtfs
159196,12227-1,Vanasadam,,59.44414,24.75928,,,,1364,2026-05-23,gtfs
159197,12228-1,Vanasadam,,59.44425,24.75957,,,,1368,2026-05-23,gtfs
146305,00011-1,Varre,,59.41847,24.75021,,,,6122,2026-05-23,gtfs
1244,11202-1,Virmalise,,59.42133,24.73718,,,,1244,2026-05-23,gtfs
1297,12203-1,A. Laikmaa,,59.43614,24.75755,,,,1297,2026-05-23,gtfs
159193,12224-1,A. Laikmaa,,59.43662,24.75746,,,,106,2026-05-23,gtfs
1276,11901-1,Kadriorg,,59.43864,24.78426,,,,1276,2026-05-23,gtfs
1277,11902-1,L. Koidula,,59.43877,24.77712,,,,1277,2026-05-23,gtfs
148067,16305-1,Ahtri,,59.4404,24.7549,,,,5786,2026-05-23,gtfs
148070,16211-1,Siimeoni,,59.44019,24.75924,,,,5787,2026-05-23,gtfs
157365,00175-1,Siimeoni,,59.43945,24.76009,,,,2008,2026-05-23,gtfs
159204,12231-1,A. Laikmaa,,59.43613,24.75731,,,,5796,2026-05-23,gtfs
1243,11201-1,Koidu,,59.42881,24.73161,,,,1243,2026-05-23,gtfs
1242,11103-1,Tõnismägi,,59.43027,24.73632,,,,1242,2026-05-23,gtfs
1627,21201-1,Estonia,,59.43459,24.75237,,,,1627,2026-05-23,gtfs
148997,21210-1,Estonia,,59.43503,24.75288,,,,6215,2026-05-23,gtfs
1280,12001-1,Vabaduse väljak,,59.43281,24.74713,,,,1280,2026-05-23,gtfs
1281,12002-1,Vabaduse väljak,,59.43299,24.74721,,,,1281,2026-05-23,gtfs
1282,12002-2,Vabaduse väljak,,59.43304,24.74649,,,,1282,2026-05-23,gtfs
134188,12909-1,Varre,,59.41902,24.75406,,,,4274,2026-05-23,gtfs
